Sample Code,Site ,Taxa,Species,Bone Part,Phase,Cut,Unit,Square,Level (cm),Collagen (mg),Yield (%),C% mean,C% 1?,?13CA,?13CB,?13CC,?13C mean,?13C 1?,N% mean,N% 1?,?15NA,?5N B,?5N C,?15N mean,?15N 1?,C/N ratio,Replicas,Session
SAF67,Salvatierra,Caiman,Caiman sp.,Bone plate,2,1125,10,202/112,190-200,41,5.0,19.5,2.2,-16.0,-15.9,-15.9,-16.0,0.0,7.0,0.7,6.1,6.2,6.1,6.1,0.0,3.2,3,4
SAF68,Salvatierra,Lungfish eel,Lepidosiren paradoxa,Mandible,2,1136,10,203/111,220-230,14,3.1,42.0,6.6,-17.9,-17.9,-17.9,-17.9,0.0,15.0,1.9,6.4,6.4,6.4,6.4,0.0,3.2,3,4
SAF69,Salvatierra,Deer,Mazama sp.,Vertebrae,2,1136,10,203/112,230-240,44,6.6,44.2,8.3,-20.9,-,-20.8,-20.9,0.0,15.8,2.3,7.4,-,7.2,7.3,0.1,3.2,2,4
SAF70,Salvatierra,Agouti,Dasyprocta sp.,-,3,99,9,209/98,-,5,-,37.2,7.2,-17.9,-17.8,-17.9,-17.9,0.1,13.1,2.0,7.6,7.7,7.6,7.6,0.0,3.3,3,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAF11,Salvatierra,Swamp eel,Synbranchus spp.,Dentary,3,99,9,202/97,160-170,1,0.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
SAF12,Salvatierra,Swamp eel,Synbranchus spp.,Dentary,3,99,9,208/98,190-200,10,1.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
SAF45,Salvatierra,Capybara,H. hydrochaeris,Mandible,3,99,9,208/98,180-190,62,5.9,7.4,1.7,-,-,-,-16.0,2.6,2.1,0.1,-,-,-,4.4,0.3,4.0,3,4
SAF52,Salvatierra,Lungfish eel,Lepidosiren paradoxa,Tooth plate,3,99,9,206/100,All Layer,22,3.3,46.3,8.6,-18.0,-18.0,-17.9,-20.7,4.8,13.4,2.6,6.2,6.1,6.2,3.6,4.5,4.0,3,4
