Sample Code,Bone Part,Unit,Sector,Depth (cm),Ceramic Phase,Burial,Collagen (mg),Yield (%),C% mean,C% 1?,?13CA,?13CB,?13CC,?13C mean,?13C 1?,N% mean,N% 1?,?15NA,?5N B,?5N C,?15N mean,?15N 1?,C/N ratio,Replicas,Session
SAL15B,Long bone,1,204-205/101-102,110-130,4,15B,91,10.1,42.5,3.2,-12.7,-12.6,-12.5,-12.6,0.1,15.7,1.2,7.5,7.5,7.4,7.5,0.0,3.2,3,1
SAL18,Long bone,1,209/101-102,110-150,4,18,45,5.6,8.4,0.2,-14.9,-15.2,-14.9,-15.0,0.2,2.7,0.1,8.5,8.4,8.6,8.5,0.1,3.6,3,1
SAL204,Skull,2,4A,130-140,4,204,55,5.0,24.2,0.3,-14.7,-14.7,-14.7,-14.7,0.0,8.7,0.2,8.5,8.5,8.5,8.5,0.0,3.2,3,1
SAL218,Rib,2,7D,-,4,218,29,5.8,39.5,4.0,-11.0,-10.9,-11.0,-11.0,0.0,14.3,1.4,9.4,9.4,9.4,9.4,0.0,3.2,3,1
SAL223A,Rib,2,1C,160-170,4,223A,16,3.7,34.8,1.0,-11.6,-11.5,-11.5,-11.5,0.0,12.6,0.4,11.1,11.1,11.1,11.1,0.0,3.2,3,2
SAL223B,Rib,2,1C,160-170,4,223B,11,2.4,21.8,0.7,-12.0,-12.0,-12.0,-12.0,0.0,7.7,0.2,11.7,11.6,11.7,11.7,0.0,3.3,3,2
SAL224,Femur,2,8D,155,4,224,36,4.5,41.3,2.2,-13.4,-13.4,-13.3,-13.4,0.0,15.0,0.9,8.0,8.0,8.1,8.0,0.0,3.2,3,1
SAL225,Rib,2,2a,160,4,225,22,4.4,40.0,1.1,-15.6,-15.8,-15.7,-15.7,0.1,14.2,0.3,8.6,8.6,8.6,8.6,0.0,3.3,3,1
SAL1154,Phalange,10,209/113,260-270,4,1154,23,2.9,33.8,1.8,-10.7,-10.7,-10.7,-10.7,0.0,12.3,0.7,8.9,8.9,9.0,8.9,0.0,3.2,3,1
SAL1213,Vertebrae,12,87/334,60-90,4,1213,23,5.7,42.5,4.3,-13.1,-13.1,-13.0,-13.0,0.0,15.5,1.5,9.5,9.5,9.6,9.5,0.1,3.2,3,1
SAL1220,Skull,9,88/333,60-90,4,1220,42,5.4,39.1,1.3,-12.5,-12.4,-12.4,-12.4,0.1,14.4,0.5,10.3,10.3,10.2,10.2,0.0,3.2,3,2
SAL97,Rib,9,203/98,150-160,4/5,97,52,6.6,32.6,1.8,-13.3,-13.3,-13.2,-13.3,0.1,11.9,0.7,8.6,8.5,8.6,8.6,0.1,3.2,3,2
SAL209,Long bone,2,8C,-,5,209,30,3.8,28.2,1.0,-14.1,-14.1,-14.3,-14.2,0.1,10.0,0.5,7.3,7.3,7.4,7.3,0.0,3.3,3,2
SAL213,Long bone,2,1A,-,5,213,31,3.9,31.6,1.5,-11.5,-11.5,-11.4,-11.4,0.1,11.5,0.5,8.8,9.0,8.9,8.9,0.1,3.2,3,1
SAL1209,Skull,12,88/332-333,50-70,5,1209,53,5.3,33.9,0.0,-,-,-13.3,-13.3,0.0,12.4,0.0,-,-,8.2,8.2,0.0,3.2,1,1
SAL1218a,Rib,2,1D,-,5,1218,7,3.5,43.4,2.5,-9.7,-9.7,-9.5,-9.6,0.1,15.3,0.9,3.6,3.6,3.6,3.6,0.0,3.3,3,1
SAL1218b,Long bone,12,86/334,60-70,5,1218,20,6.7,41.8,0.9,-14.1,-14.0,-13.9,-14.0,0.1,15.0,0.4,8.7,8.7,8.8,8.7,0.1,3.2,3,1
SAL4028a,Rib,4,A21,230-240,5,4028a,23,3.3,16.4,1.4,-13.2,-13.4,-13.4,-13.3,0.1,5.7,0.5,8.7,8.7,8.7,8.7,0.0,3.4,3,1
SAL4200,Skull,4,Y24,240-250,5,4200,73,6.1,12.9,1.0,-14.1,-14.3,-13.9,-14.1,0.2,4.3,0.4,8.9,8.5,8.7,8.7,0.2,3.5,3,1
SAL1214,Long bone,12,84/334,60-70,5?,1214,81,11.6,43.6,0.2,-13.3,-13.2,-13.1,-13.2,0.1,15.8,0.2,11.6,11.6,11.7,11.6,0.0,3.2,3,1
